red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,1.0,1000,0,386,32,48
trooper.py,domination/agent.py,1.0,1000,0,440,36,46
trooper.py,domination/agent.py,0.63,630,370,600,43,81
trooper.py,domination/agent.py,0.735,735,265,600,42,78
trooper.py,domination/agent.py,0.525,525,475,600,45,70
trooper.py,domination/agent.py,0.609,609,391,600,39,75
trooper.py,domination/agent.py,0.702,702,298,600,42,73
trooper.py,domination/agent.py,0.347,347,653,600,39,74
trooper.py,domination/agent.py,0.809,809,191,600,45,74
trooper.py,domination/agent.py,1.0,1000,0,522,38,65
domination/agent.py,trooper.py,0.526,526,474,600,81,34
domination/agent.py,trooper.py,0.259,259,741,600,66,48
domination/agent.py,trooper.py,0.612,612,388,600,79,37
domination/agent.py,trooper.py,0.817,817,183,600,72,45
domination/agent.py,trooper.py,0.421,421,579,600,75,45
domination/agent.py,trooper.py,0.0,0,1000,580,70,45
domination/agent.py,trooper.py,0.226,226,774,600,66,47
domination/agent.py,trooper.py,0.247,247,753,600,72,49
domination/agent.py,trooper.py,0.171,171,829,600,62,49
domination/agent.py,trooper.py,0.289,289,711,600,64,43
