red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,1.0,1000,0,574,52,63
trooper.py,domination/agent.py,0.796,796,204,600,53,68
trooper.py,domination/agent.py,0.873,873,127,600,54,56
trooper.py,domination/agent.py,1.0,1000,0,407,46,34
trooper.py,domination/agent.py,0.789,789,211,600,52,69
trooper.py,domination/agent.py,1.0,1000,0,430,41,42
trooper.py,domination/agent.py,1.0,1000,0,487,40,49
trooper.py,domination/agent.py,1.0,1000,0,422,35,49
trooper.py,domination/agent.py,1.0,1000,0,425,33,47
trooper.py,domination/agent.py,1.0,1000,0,262,29,19
domination/agent.py,trooper.py,0.0,0,1000,309,36,27
domination/agent.py,trooper.py,0.0,0,1000,270,27,25
domination/agent.py,trooper.py,0.0,0,1000,346,39,30
domination/agent.py,trooper.py,0.355,355,645,600,70,45
domination/agent.py,trooper.py,0.0,0,1000,451,48,38
domination/agent.py,trooper.py,0.0,0,1000,374,38,32
domination/agent.py,trooper.py,0.34,340,660,600,69,50
domination/agent.py,trooper.py,0.0,0,1000,579,59,47
domination/agent.py,trooper.py,0.236,236,764,600,64,55
domination/agent.py,trooper.py,0.241,241,759,600,57,55
