red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
offence_trooper.py,domination/agent.py,0.0,0,1000,187,0,41
offence_trooper.py,domination/agent.py,0.0,0,1000,185,0,40
offence_trooper.py,domination/agent.py,0.0,0,1000,184,0,42
offence_trooper.py,domination/agent.py,0.0,0,1000,185,0,44
offence_trooper.py,domination/agent.py,0.0,0,1000,184,0,41
offence_trooper.py,domination/agent.py,0.0,0,1000,188,0,39
offence_trooper.py,domination/agent.py,0.0,0,1000,190,0,42
offence_trooper.py,domination/agent.py,0.0,0,1000,186,0,43
offence_trooper.py,domination/agent.py,0.0,0,1000,186,0,42
offence_trooper.py,domination/agent.py,0.0,0,1000,185,0,40
domination/agent.py,offence_trooper.py,1.0,1000,0,183,45,0
domination/agent.py,offence_trooper.py,1.0,1000,0,186,43,0
domination/agent.py,offence_trooper.py,1.0,1000,0,181,42,0
domination/agent.py,offence_trooper.py,1.0,1000,0,185,40,0
domination/agent.py,offence_trooper.py,1.0,1000,0,184,43,0
domination/agent.py,offence_trooper.py,1.0,1000,0,184,41,0
domination/agent.py,offence_trooper.py,1.0,1000,0,183,40,0
domination/agent.py,offence_trooper.py,1.0,1000,0,202,42,0
domination/agent.py,offence_trooper.py,1.0,1000,0,188,41,0
domination/agent.py,offence_trooper.py,1.0,1000,0,182,39,0
