red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
reactive_trooper.py,domination/agent.py,0.504,504,496,600,0,39
reactive_trooper.py,domination/agent.py,0.879,879,121,600,1,43
reactive_trooper.py,domination/agent.py,0.229,229,771,600,0,47
reactive_trooper.py,domination/agent.py,0.333,333,667,600,0,48
reactive_trooper.py,domination/agent.py,0.422,422,578,600,0,45
reactive_trooper.py,domination/agent.py,0.609,609,391,600,0,41
reactive_trooper.py,domination/agent.py,0.201,201,799,600,0,46
reactive_trooper.py,domination/agent.py,0.448,448,552,600,0,46
reactive_trooper.py,domination/agent.py,0.075,75,925,600,0,48
reactive_trooper.py,domination/agent.py,0.137,137,863,600,0,56
domination/agent.py,reactive_trooper.py,0.847,847,153,600,49,0
domination/agent.py,reactive_trooper.py,0.525,525,475,600,40,0
domination/agent.py,reactive_trooper.py,0.314,314,686,600,40,0
domination/agent.py,reactive_trooper.py,0.781,781,219,600,44,0
domination/agent.py,reactive_trooper.py,0.618,618,382,600,47,0
domination/agent.py,reactive_trooper.py,1.0,1000,0,571,50,0
domination/agent.py,reactive_trooper.py,0.704,704,296,600,51,0
domination/agent.py,reactive_trooper.py,0.259,259,741,600,23,0
domination/agent.py,reactive_trooper.py,0.88,880,120,600,50,0
domination/agent.py,reactive_trooper.py,0.556,556,444,600,43,0
