red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
trooper.py,domination/agent.py,0.169,169,831,600,28,24
trooper.py,domination/agent.py,0.49,490,510,600,32,23
trooper.py,domination/agent.py,0.519,519,481,600,25,33
trooper.py,domination/agent.py,0.398,398,602,600,33,22
trooper.py,domination/agent.py,0.871,871,129,600,39,16
trooper.py,domination/agent.py,0.281,281,719,600,30,23
trooper.py,domination/agent.py,0.852,852,148,600,35,14
trooper.py,domination/agent.py,0.078,78,922,600,31,24
trooper.py,domination/agent.py,0.888,888,112,600,37,19
trooper.py,domination/agent.py,0.478,478,522,600,29,24
trooper.py,domination/agent.py,0.632,632,368,600,29,26
trooper.py,domination/agent.py,0.511,511,489,600,29,23
trooper.py,domination/agent.py,0.231,231,769,600,32,16
trooper.py,domination/agent.py,0.41,410,590,600,31,18
trooper.py,domination/agent.py,0.306,306,694,600,31,22
trooper.py,domination/agent.py,0.0,0,1000,516,25,1
trooper.py,domination/agent.py,0.742,742,258,600,32,23
trooper.py,domination/agent.py,0.28,280,720,600,36,18
trooper.py,domination/agent.py,0.299,299,701,600,26,24
trooper.py,domination/agent.py,0.171,171,829,600,23,26
domination/agent.py,trooper.py,0.418,418,582,600,18,38
domination/agent.py,trooper.py,0.0,0,1000,344,6,25
domination/agent.py,trooper.py,0.409,409,591,600,18,35
domination/agent.py,trooper.py,0.326,326,674,600,17,39
domination/agent.py,trooper.py,0.227,227,773,600,17,37
domination/agent.py,trooper.py,0.444,444,556,600,21,31
domination/agent.py,trooper.py,0.311,311,689,600,23,33
domination/agent.py,trooper.py,0.568,568,432,600,22,36
domination/agent.py,trooper.py,0.314,314,686,600,23,32
domination/agent.py,trooper.py,0.603,603,397,600,14,41
domination/agent.py,trooper.py,0.79,790,210,600,18,29
domination/agent.py,trooper.py,0.0,0,1000,389,9,27
domination/agent.py,trooper.py,0.681,681,319,600,10,20
domination/agent.py,trooper.py,0.345,345,655,600,22,33
domination/agent.py,trooper.py,0.424,424,576,600,20,32
domination/agent.py,trooper.py,0.0,0,1000,246,2,20
domination/agent.py,trooper.py,0.517,517,483,600,24,31
domination/agent.py,trooper.py,0.696,696,304,600,23,30
domination/agent.py,trooper.py,0.706,706,294,600,22,28
domination/agent.py,trooper.py,0.476,476,524,600,16,39
