red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
tournament1/t1v2.py,tournament1/t2v4.py,1.0,1000,0,281,37,35
tournament1/t1v2.py,tournament1/t3v4.py,1.0,1000,0,349,24,5
tournament1/t1v2.py,tournament1/t4v6.py,0.0,0,1000,313,16,52
tournament1/t1v2.py,tournament1/t5v2.py,0.0,0,1000,297,12,27
tournament1/t1v2.py,tournament1/t6v6.py,0.0,0,1000,296,18,29
tournament1/t2v4.py,tournament1/t3v4.py,0.228,228,772,600,91,65
tournament1/t2v4.py,tournament1/t4v6.py,0.0,0,1000,478,26,80
tournament1/t2v4.py,tournament1/t5v2.py,0.416,416,584,600,85,47
tournament1/t2v4.py,tournament1/t6v6.py,0.0,0,1000,234,12,27
tournament1/t3v4.py,tournament1/t4v6.py,0.159,159,841,600,41,76
tournament1/t3v4.py,tournament1/t5v2.py,0.492,492,508,600,62,48
tournament1/t3v4.py,tournament1/t6v6.py,0.445,445,555,600,33,73
tournament1/t4v6.py,tournament1/t5v2.py,0.833,833,167,600,117,26
tournament1/t4v6.py,tournament1/t6v6.py,0.929,929,71,600,86,57
tournament1/t5v2.py,tournament1/t6v6.py,0.764,764,236,600,30,69
tournament1/t1v2.py,tournament1/t2v4.py,1.0,1000,0,189,30,19
tournament1/t1v2.py,tournament1/t3v4.py,1.0,1000,0,380,46,37
tournament1/t1v2.py,tournament1/t4v6.py,0.0,0,1000,389,19,82
tournament1/t1v2.py,tournament1/t5v2.py,0.467,467,533,600,73,53
tournament1/t1v2.py,tournament1/t6v6.py,1.0,1000,0,528,48,59
tournament1/t2v4.py,tournament1/t3v4.py,0.012,12,988,600,79,61
tournament1/t2v4.py,tournament1/t4v6.py,0.0,0,1000,303,11,57
tournament1/t2v4.py,tournament1/t5v2.py,0.0,0,1000,589,86,58
tournament1/t2v4.py,tournament1/t6v6.py,0.608,608,392,600,46,69
tournament1/t3v4.py,tournament1/t4v6.py,0.058,58,942,600,36,99
